ru,ka_draft,ka_final,en,status,uses,note
проектирование,დაპროექტება,,design engineering,check,13,ВАЖНО: Codex дал «პროექტირება» — калька с русского. Грузинская норма «დაპროექტება». Подтвердить.
гирлянда,გირლანდა,,garland,check,11,
подрядчик,მენარდე,,contractor,check,8,Варианты: «მენარდე» (юр./строит.) и «კონტრაქტორი» (заимствование). Выбрать один.
кондиционирование,კონდიცირება,,air conditioning,check,6,
световые решения,განათების გადაწყვეტები,,lighting solutions,check,5,Codex предлагал «გადაწყვეტილებები» (решения-как-выбор). Для продуктовых решений обычно короче — «გადაწყვეტები». Выбрать одно и держать везде.
техническое сопровождение,ტექნიკური მხარდაჭერა,,technical support,check,5,
слаботочные сети,სუსტი დენების ქსელები,,low-voltage systems,check,5,Codex пометил спорным. В грузинской практике возможно английское «low current». Решить.
видеонаблюдение,ვიდეოთვალთვალი,,video surveillance,check,5,
городские пространства,ურბანული სივრცეები,,urban spaces,check,5,
шоу дронов,დრონების შოუ,,drone show,check,5,
кабельные линии,საკაბელო ხაზები,,cable lines,check,4,
светодиодный,შუქდიოდური,,LED,check,4,На грузинском рынке часто оставляют латинское LED. Решить: свой термин или LED.
праздничное оформление,სადღესასწაულო გაფორმება,,festive decoration,check,4,
динамические сценарии,დინამიკური სცენარები,,dynamic scenes,check,4,
контроль доступа,წვდომის კონტროლი,,access control,check,4,
под ключ,სრული ციკლით,,turnkey,check,3,Идиома. Дословная калька «გასაღებზე» звучит чужеродно. Нужен носитель.
кабельная трасса,საკაბელო ტრასა,,cable route,check,3,"Здесь Codex выдал брак — «трасა» кириллицей. Правильная транслитерация «ტრასა», но лучше проверить, не используется ли «მარშრუტი»."
пусконаладка,გაშვება-გამართვა,,commissioning,check,2,"Составной термин, в грузинском может не читаться. Спросить, как это называют на объектах."
контурная подсветка,კონტურული განათება,,contour lighting,check,2,
сервисное обслуживание,სერვისული მომსახურება,,maintenance,check,1,Возможна тавтология: «სერვისული მომსახურება» ≈ «сервисный сервис». Может хватить «მომსახურება».
светотехнический расчёт,შუქტექნიკური გაანგარიშება,,lighting calculation,check,1,Codex дал «გათვლა» (бытовой подсчёт). Для инженерного расчёта обычно «გაანგარიშება». Подтвердить.
линейный светильник,ხაზოვანი სანათი,,linear luminaire,check,1,
структурированная кабельная система,სტრუქტურირებული საკაბელო სისტემა,,structured cabling,check,1,На сайте встречается аббревиатура «СКС». В грузинском аббревиатуры нет — писать полностью или оставить латинское SCS.
смета,ხარჯთაღრიცხვა,,cost estimate,check,0,
диммирование,დიმირება,,dimming,check,0,"Codex пометил спорным. Возможно, на объектах говорят просто «dimming»."
малые архитектурные формы,მცირე არქიტექტურული ფორმები,,street furniture,check,0,
застройщик,დეველოპერი,,developer,check,0,
объект,ობიექტი,,site,ok,29,
монтаж,მონტაჟი,,installation,ok,27,
безопасность,უსაფრთხოება,,security,ok,16,
сцена,სცენა,,stage,ok,15,
поставка,მიწოდება,,supply,ok,14,
Грузия,საქართველო,,Georgia,ok,14,
освещение,განათება,,lighting,ok,13,
производство,წარმოება,,manufacturing,ok,12,
парк,პარკი,,park,ok,12,
инженерные системы,საინჟინრო სისტემები,,engineering systems,ok,11,
мероприятие,ღონისძიება,,event,ok,10,
вентиляция,ვენტილაცია,,ventilation,ok,9,
светильник,სანათი,,luminaire,ok,8,
управление светом,განათების მართვა,,lighting control,ok,8,
климат,კლიმატი,,climate,ok,8,
фасад,ფასადი,,facade,ok,8,
общественные пространства,საზოგადოებრივი სივრცეები,,public spaces,ok,7,
Армения,სომხეთი,,Armenia,ok,6,
электромонтаж,ელექტრომონტაჟი,,electrical installation,ok,5,
система управления,მართვის სისტემა,,control system,ok,5,
заказчик,დამკვეთი,,client,ok,5,
локальная команда,ადგილობრივი გუნდი,,local team,ok,5,
декоративные элементы,დეკორატიული ელემენტები,,decorative elements,ok,4,
централизованное управление,ცენტრალიზებული მართვა,,centralised control,ok,4,
детские площадки,საბავშვო მოედნები,,playgrounds,ok,4,
временная инфраструктура,დროებითი ინფრასტრუქტურა,,temporary infrastructure,ok,4,
проектная документация,საპროექტო დოკუმენტაცია,,design documentation,ok,3,
сроки,ვადები,,timelines,ok,3,
склад,საწყობი,,warehouse,ok,3,
ландшафтное освещение,ლანდშაფტური განათება,,landscape lighting,ok,2,
прожектор,პროჟექტორი,,floodlight,ok,2,
архитектурное освещение,არქიტექტურული განათება,,architectural lighting,ok,1,
новогодняя ёлка,საახალწლო ნაძვის ხე,,Christmas tree,ok,0,
статический режим,სტატიკური რეჟიმი,,static mode,ok,0,
пожарная сигнализация,სახანძრო სიგნალიზაცია,,fire alarm,ok,0,
гарантия,გარანტია,,warranty,ok,0,
